DIRETOR,ANO_MAIS_RECENTE,N_FILMES,PRESTIGIO_FESTIV,CITA_N_PAPERS,CITA_SOMA_CIT,CITA_MAX_CIT,CITA_VENUES
EDGARD REYS NAVARRO FILHO,2017,4,,17.0,19.0,15.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | AYVU - Revista de Psicologia
CARLOS EDUARDO DA COSTA E SILVA,2025,1,,3.0,19.0,18.0,New Disease Reports | História Revista | Administrative Sciences
EDGARD NAVARRO,2005,1,,17.0,19.0,15.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | AYVU - Revista de Psicologia
DAVID YALE MEYER,2013,1,,4.0,19.0,8.0,Spectrum Research Repository (Concordia University) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual
CAO HAMBURGER,2006,2,Oscar,25.0,19.0,8.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Alphaville Journal of Film and Screen Media | Journal of Modern Jewish Studies
CARLOS ALBERTO COSTA SOUZA,2024,14,,3.0,19.0,18.0,New Disease Reports | História Revista | Administrative Sciences
ANTONIO FERNANDO D ALMEIDA COUTO FILHO,2025,3,,2.0,18.0,17.0,Exchange | Reports on Progress in Physics
CAMILO SANTOS CAVALCANTE,2024,22,,15.0,18.0,15.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS | O Mosaico
CARLOS FELIPE LOPES WERNECK HIRSCH,2023,3,,5.0,18.0,13.0,Estudos Semióticos | Bookerfield Editora | Significação Revista de Cultura Audiovisual
CARLOS FERNANDO LOPES DA ROCHA,2016,1,,5.0,18.0,13.0,Estudos Semióticos | Bookerfield Editora | Significação Revista de Cultura Audiovisual
ANA CATARINA DE CASTRO,2023,3,,2.0,17.0,17.0,PLOS Global Public Health | Alphaville Journal of Film and Screen Media
ANA GEORGINA DE CASTRO,2022,2,,2.0,17.0,17.0,PLOS Global Public Health | Alphaville Journal of Film and Screen Media
DAVID PABLOS,2022,1,,5.0,17.0,17.0,UASB-DIGITAL Categories (Universidad Andina Simón Bolívar) | MonTi Monografías de Traducción e Interpretación | Deep Blue (University of Michigan)
CARLOS ALBERTO FERNANDES PEREIRA JUNIOR,2019,3,,5.0,17.0,9.0,Coatings | Carbohydrate Polymers | Revista Cientí­fica/FAP
ANNE GABRIELLA TERESA HOLCOMB PINHEIRO GUIMARAES AMORIM,2025,5,,8.0,17.0,6.0,The International Journal of Screendance | Theatrical Colloquia | Medical Entomology and Zoology
ANA CAROLINA DE CASTRO GALIZIA,2022,2,,2.0,17.0,17.0,PLOS Global Public Health | Alphaville Journal of Film and Screen Media
DIEGO LERMAN,2017,1,,23.0,15.0,4.0,Kinema A Journal for Film and Audiovisual Media | Oxford University Press eBooks | Imagofagia: revista de la Asociación Argentina de Estudios de Cine y Audiovisual
ALEXANDRE MARINHO SAMPAIO,2025,3,,2.0,15.0,15.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ALEXANDRE CARDOSO DE FREITAS,2025,1,,3.0,14.0,14.0,e-Archivo (Carlos III University of Madrid) | Comunicación y Sociedad | Revista Brasileira de Sociologia do Direito
ARY ROSA DUARTE,2025,7,Rotterdam,36.0,14.0,5.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | AVANCA | CINEMA
ALEXANDRE MIRANDA DE FREITAS,2019,15,,3.0,14.0,14.0,e-Archivo (Carlos III University of Madrid) | Comunicación y Sociedad | Revista Brasileira de Sociologia do Direito
EDUARDO NOVELLI VALENTE,2009,4,,38.0,13.0,3.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Kent Academic Repository (University of Kent)
EDUARDO VALENTE,2006,2,,38.0,13.0,3.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Kent Academic Repository (University of Kent)
CARLOS COIMBRA,2013,12,Oscar,35.0,13.0,3.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Varia Historia | Em Tempo de Histórias
ADRIAN CAETANO,2018,1,,10.0,13.0,9.0,Érudit (Université de Montréal) | Dialnet (Universidad de la Rioja) | KU ScholarWorks (The University of Kansas)
CARLOS KLEBER SANTOS PIRES,2022,11,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
CARLOS CESAR SANTOS,2017,2,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
CARLOS ANTONIO DOS SANTOS,2018,1,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
CARLOS EDUARDO DOS SANTOS MEDEIROS JOSE,2021,2,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
CARLOS ANTONIO DOS SANTOS MACHADO FILHO,2023,1,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
CARLOS ANTONIO DOS SANTOS SEGUNDO,2025,24,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
CARLOS VALDIR SANTOS FERREIRA,2008,3,,6.0,12.0,3.0,Complutensian Scientific Journals (Complutense University of Madrid) | Ilha do Desterro A Journal of English Language Literatures in English and Cultural Studies | Genocide Studies and Prevention
DANIEL SOLA SANTIAGO,2025,6,,15.0,12.0,5.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | arte e ensaios | Aniki Revista Portuguesa da Imagem em Movimento
DANIEL SAMPAIO SANTIAGO,2021,1,,15.0,12.0,5.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | arte e ensaios | Aniki Revista Portuguesa da Imagem em Movimento
FAUZI ABDALLA MANSUR,2015,19,,13.0,11.0,6.0,Estudios LGBTIQ+ Comunicación y Cultura | Caligrama (São Paulo Online) | Cadernos de arte e antropologia
ALESSANDRO CONSTANTINO GAMO,2018,4,,10.0,11.0,6.0,Sociedade e Estado | Estudos Ibero-Americanos | Revista FAMECOS
CARLOS AZIZ NADER,2017,4,,30.0,11.0,7.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | DOC online - Revista Digital de Cinema Documentário | SHILAP Revista de lepidopterología
CARLOS NADER,2014,13,,30.0,11.0,7.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | DOC online - Revista Digital de Cinema Documentário | SHILAP Revista de lepidopterología
CARLOS GERBASE,2025,24,,34.0,11.0,3.0,Lume (Universidade Federal do Rio Grande do Sul) | Revista FAMECOS | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
CARLOS MUÃOZ BOLADO,2006,1,,15.0,10.0,8.0,New Cinemas Journal of Contemporary Film | Edinburgh University Press eBooks | U-PAD Unimc - Open Digital Publications (University of Macerata)
ANA CRISTINA COSTA E SILVA,2025,7,,7.0,9.0,6.0,Perspectivas de la comunicación | Open Repository of the University of Porto (University of Porto) | Aniki Revista Portuguesa da Imagem em Movimento
ALAIN FRESNOT,2025,7,,24.0,9.0,6.0,Digital Library of Theses and Dissertations  (Universidade de São Paulo) | Revista urutágua | Revista OPSIS
CARLOS ARTHUR LEITE SOUSA,2020,3,,6.0,9.0,7.0,ForScience | Estudios LGBTIQ+ Comunicación y Cultura | Cadernos de literatura comparada
DAVID JOSEPH REEKS,2020,6,,7.0,9.0,5.0,Educação e Pesquisa | DEVIR EDUCAÇÃO | Revista de Cultura e Extensão USP
ANA MARIA COSTA CRUZ DE OLIVEIRA,2023,1,,7.0,9.0,6.0,Perspectivas de la comunicación | Open Repository of the University of Porto (University of Porto) | Aniki Revista Portuguesa da Imagem em Movimento
ANA CAROLINA COSTA,2024,2,,7.0,9.0,6.0,Perspectivas de la comunicación | Open Repository of the University of Porto (University of Porto) | Aniki Revista Portuguesa da Imagem em Movimento
ANA PAULA COSTA PEIXOTO,2019,2,,7.0,9.0,6.0,Perspectivas de la comunicación | Open Repository of the University of Porto (University of Porto) | Aniki Revista Portuguesa da Imagem em Movimento
ANA PETRA COSTA,2024,5,,7.0,9.0,6.0,Perspectivas de la comunicación | Open Repository of the University of Porto (University of Porto) | Aniki Revista Portuguesa da Imagem em Movimento
ANA PAULA DA COSTA MORAIS,2024,15,,7.0,9.0,6.0,Perspectivas de la comunicación | Open Repository of the University of Porto (University of Porto) | Aniki Revista Portuguesa da Imagem em Movimento
ANTONIO RICARDO LOPES DA COSTA,2025,38,,8.0,8.0,4.0,"Dialnet (Universidad de la Rioja) | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | Revista Estudos do Século XX"
ANTONIO VICTOR LOPES LUSTOSA,2009,2,,8.0,8.0,4.0,"Dialnet (Universidad de la Rioja) | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | Revista Estudos do Século XX"
ANTONIO HENRIQUE LOPES QUEIROZ,2025,1,,8.0,8.0,4.0,"Dialnet (Universidad de la Rioja) | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | Revista Estudos do Século XX"
DAVI AGRELLO PRETTO,2025,15,,14.0,7.0,3.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Sessões do Imaginário
DAINA LIANE GIANNECCHINI,2024,6,,5.0,7.0,4.0,DOC online - Revista Digital de Cinema Documentário | DEMETRA Alimentação Nutrição & Saúde | Diálogo com a Economia Criativa
CACÃ DIEGUES,2006,1,Oscar,22.0,7.0,2.0,Alceu | EDUCA - Revista Multidisciplinar em Educação | Estudos Históricos (Rio de Janeiro)
CARLOS ROBERTO CAVALCANTI DE ALBUQUERQUE,2024,13,,5.0,7.0,4.0,Ateliê Geográfico | Revista Mulemba | O Mosaico
CARLOS ANDRE CARDOSO VITORINO,2014,1,,10.0,7.0,5.0,Brazilian Journalism Research | CODESRIA Bulletin | VTechWorks (Virginia Tech)
CARLOS PABLO CARDOSO LOBATO,2024,7,,10.0,7.0,5.0,Brazilian Journalism Research | CODESRIA Bulletin | VTechWorks (Virginia Tech)
DANILO MELO DE CARVALHO FILHO,2022,4,,9.0,6.0,4.0,Aniki Revista Portuguesa da Imagem em Movimento | E-Compós | Anthrovision
CARLOS EDUARDO PEREIRA DA SILVA,2025,4,,4.0,6.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Cadernos Gestão Pública e Cidadania | Em Tempo de Histórias
CARLOS EDUARDO PEREIRA DE SOUSA,2023,1,,4.0,6.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Cadernos Gestão Pública e Cidadania | Em Tempo de Histórias
DIOGO FONTES PEREIRA,2025,3,,2.0,6.0,6.0,Nanoscale Advances | Revista Multiplicidade
CESAR RAMON CHARLONE HERREIRA,2024,2,,10.0,6.0,3.0,Film & history | Fórum Patrimônio: Ambiente Construído e Patrimônio Sustentável | Disciplinarum Scientia | Ciências Humanas
DIOGO MAGALHAES PEREIRA DOS SANTOS,2012,3,,2.0,6.0,6.0,Nanoscale Advances | Revista Multiplicidade
CARLOS EDUARDO PEREIRA LUIZ,2014,1,,4.0,6.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Cadernos Gestão Pública e Cidadania | Em Tempo de Histórias
FABIO LEMES GOMES,2025,13,,1.0,6.0,6.0,El Profesional de la Informacion
FABIO DE SOUZA GOMES,2019,1,,1.0,6.0,6.0,El Profesional de la Informacion
CARLOS ALBERTO PEREIRA DA SILVA,2025,1,,4.0,6.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Cadernos Gestão Pública e Cidadania | Em Tempo de Histórias
FABIO ROCHA GOMES,2020,1,,1.0,6.0,6.0,El Profesional de la Informacion
CARLOS AUGUSTO PEREIRA COELHO,2019,8,,4.0,6.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Cadernos Gestão Pública e Cidadania | Em Tempo de Histórias
CESAR RAMON CHARLONE HERRERA,2013,3,,10.0,6.0,3.0,Film & history | Fórum Patrimônio: Ambiente Construído e Patrimônio Sustentável | Disciplinarum Scientia | Ciências Humanas
BRUNO BARBOSA SAFADI,2025,14,,7.0,5.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Revista Periódicus | Revista FAMECOS
ADILSON INACIO MENDES,2024,2,,14.0,5.0,3.0,Imagofagia | Palimpsesto | Arteriais - Revista do Programa de Pós-Gradução em Artes
DENER JOSE GIOVANINI,2020,6,,1.0,5.0,5.0,Composição Revista de Ciências Sociais da UFMS
CARLOS AUGUSTO MEDINA SPERRY CEZAR,2022,6,,2.0,5.0,5.0,Bulletin of Hispanic Studies | Amsterdam University Press eBooks
ADRIANA ALCANTARA E SILVA,2014,3,,3.0,4.0,4.0,Highlights in Science Engineering and Technology | ILUMINURAS
ADRIANA ALVES DA SILVA,2015,4,,3.0,4.0,4.0,Highlights in Science Engineering and Technology | ILUMINURAS
DJALMA LIMONGI BATISTA,2010,3,,7.0,4.0,2.0,Estudos Avançados | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista FAMECOS
DANIEL MARQUES REZENDE PEREIRA,2025,10,Oscar,20.0,4.0,2.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Zenodo (CERN European Organization for Nuclear Research) | Resgate Revista Interdisciplinar de Cultura
ADRIANA DA SILVA,2018,3,,3.0,4.0,4.0,Highlights in Science Engineering and Technology | ILUMINURAS
CARLOS EDUARDO DE CARVALHO MACHADO,2022,2,,6.0,4.0,4.0,Revista de Medicina y Cine | UCA Research Online (University for the Creative Arts) | Revista de Ciências Humanas
ESMIR DE OLIVEIRA FILHO,2026,18,,16.0,4.0,2.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista Internacional Interdisciplinar INTERthesis | Dialnet (Universidad de la Rioja)
CARLOS ANDRE HORACIO SALLES,2019,4,,1.0,4.0,4.0,Latin American Research Review
