cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte
B1900448200000,AOS OLHOS DE ERNESTO,aos olhos de ernesto,18.0,7,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700307900000,A SOMBRA DO PAI,a sombra do pai,17.5,5,BAFICI | Festival de Brasília | Festival do Rio | Festival Internacional de Cinema de Tóquio | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900027100000,AINDA TEMOS A IMENSIDÃO DA NOITE,ainda temos a imensidao da noite,17.5,8,BAFICI | Cine Esquema Novo - Festival de Cinema de Porto Alegre | Festival de Brasília | Festival de Cinema de Bogotá | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFI - Festival Internacional de cinema da Índia (Goa) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100259600000,WANDERING HEART,wandering heart,17.0,6,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Donostia - Festival Internacional de Cinema de San Sebastián | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Málaga | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Queer Lisboa - Festival Internacional de Cinema Queer,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200212700000,OS PRIMEIROS SOLDADOS,os primeiros soldados,16.5,11,Festival de Cinema Brésilien de Paris | Festival de Cinema de Vitória | Festival de Cinema LGBTIQ+ de Londres - BFI Flare | Festival do Rio | Festival du Film Brésilien de Montreal | Festival Internacional Mannheim Heidelberg | IFFI - Festival Internacional de cinema da Índia (Goa) | Mostra de Cinema de Ouro Preto – CineOP | Mostra de Cinema de Tiradentes (Minas Gerais) | NewFest - Festival de Cinema e Mídias LGBTQ+ | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900175200000,ENQUANTO ESTAMOS AQUI,enquanto estamos aqui,16.5,6,Art of the Real | Cine Esquema Novo - Festival de Cinema de Porto Alegre | Festival Internacional de Cinema de Roterdã | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Mostra Internacional de Cinema de São Paulo | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800098700000,SIMONAL,simonal,15.5,7,FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival de Gramado | Festival do Rio | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Viña del Mar | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900357900000,DIZ A ELA QUE ME VIU CHORAR,diz a ela que me viu chorar,15.5,5,Cinéma du Réel | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Olhar de Cinema - Festival Internacional de Curitiba | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700172000000,CIDADES FANTASMAS,cidades fantasmas,15.0,4,Docs MX - Festival Internacional de Documentário da Cidade do México | É Tudo Verdade | Festival de Gramado | Festival Internacional de Cinema de Guadalajara,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000096200000,EDUARDO E MÔNICA,eduardo e monica,15.0,8,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brésilien de Paris | Festival do Rio | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Punta Del Este | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800090200000,AÇUCAR,acucar,15.0,7,FESTIN Lisboa | Festival do Rio | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema do Uruguai | Janela Internacional do Cinema | Mostra do Filme Livre | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200146400000,A FELICIDADE DAS COISAS,a felicidade das coisas,14.5,4,Festival de Cine de Mujeres – FEMCINE | Festival Internacional de Cinema de Roterdã | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000525500000,O CLUBE DOS ANJOS,o clube dos anjos,14.5,5,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Black Nights Film Festival | Festival de Gramado | Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900307100000,NO CORAÇÃO DO MUNDO,no coracao do mundo,14.0,5,Encontros de Cinema da Amércia Latina de Toulouse | Festival Internacional de Cinema de Roterdã | Festival Trois Continents (Nantes) | INDIELISBOA - Festival Internacional de Cinema Independente | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900613700000,PARTIDA,partida,13.5,5,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami | Festival de Cinema Málaga | Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800029300000,TODOS OS PAULOS DO MUNDO,todos os paulos do mundo,13.5,7,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Janela Internacional do Cinema | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200215900000,RAQUEL 1:1,raquel 1:1,13.5,4,Festival Internacional de Cinema de Guadalajara | LUCAS Internationales KinderFilmFestival | Mostra Internacional de Cinema de São Paulo | South by Southwest - Festival de Cinema e Música de Austin,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800603500000,MEU AMIGO FELA,meu amigo fela,13.5,5,É Tudo Verdade | FESPACO - Festival Panafricano de Cinema | Festival de Cinema Brésilien de Paris | Festival Internacional de Cinema de Durban | Festival Internacional de Cinema de Roterdã,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600441200000,A LUTA DO SÉCULO,a luta do seculo,13.5,4,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900235500000,TURMA DA MÔNICA - LAÇOS,turma da monica - lacos,13.5,4,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Gramado | LUCAS Internationales KinderFilmFestival | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100032900000,LIMIAR,limiar,13.5,7,Festival de Cinema de Vitória | Festival de Cinema Málaga | Festival do Rio | Festival Internacional de Cinema de Durban | Festival Internacional de Documentários Hot Docs | Festival Mix Brasil de Cultura da Diversidade | Queer Lisboa - Festival Internacional de Cinema Queer,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600708000000,FALA COMIGO,fala comigo,13.5,4,BAFICI | Festival de Cinema Brasileiro de Miami | Festival do Rio | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900494500000,FÉ E FÚRIA,fe e furia,13.0,5,Festival do Rio | Festival Internacional de Cine Político | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | IDFA - Festival Internacional de Documentários de Amsterdam,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000319700000,ANA. SEM TITULO,ana. sem titulo,13.0,6,Festival de Cine de Mujeres – FEMCINE | Festival de Cinema Brasileiro de Miami | Festival Internacional de Cinema de Moscou | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000227100000,MEU QUERIDO SUPERMERCADO,meu querido supermercado,13.0,4,É Tudo Verdade | Festival Internacional de Cinema de Guadalajara | IDFA - Festival Internacional de Documentários de Amsterdam | Visions du Réel (Nyon),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800405900000,MORTO NÃO FALA,morto nao fala,12.5,5,BFI - Festival de Cinema de Londres | Festival do Rio | Festival Internacional de Cinema da Fronteira | Festival Internacional de Cinema de Roterdã | Sitges - Festival Internacional de Cinema Fantástico da Catalunha,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800514700000,SOBRE RODAS,sobre rodas,12.5,6,Chicago Children - Festival de Cinema Infantil de Chicago | Festival de Brasília | Festival de Gramado | Festival do Rio | Mostra de Cinema de Tiradentes (Minas Gerais) | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700151900000,O FILME DA MINHA VIDA,o filme da minha vida,12.5,4,Festival de Cinema Brésilien de Paris | Festival Internacional de Cinema de Durban | Festival Internacional de Cinema de Guadalajara | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900583200000,CIDADE PÁSSARO,cidade passaro,12.0,3,Festival Internacional de Cinema de Berlim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700424500000,YONLU,yonlu,12.0,4,Festival de Gramado | Festival do Rio | Festival Internacional de Cinema de Valdivia | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000081700000,ELA E EU,ela e eu,12.0,6,Chicago Latino Film Festival | Festival de Brasília | Festival de Cinema Brasileiro de Miami | Festival do Rio | Festival Guarnicê de Cinema | IFFK - International Film Festival of Kerala,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700513700000,O NOME DA MORTE,o nome da morte,12.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700614000000,MOTORRAD,motorrad,12.0,3,Festival do Rio | Festival Internacional de Cinema de Toronto | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000240300000,JESUS KID,jesus kid,12.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Gramado,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000158900000,CHORÃO: MARGINAL ALADO,chorao: marginal alado,12.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900272800000,UMA BAÍA,uma baia,12.0,3,Festival de Cinema de Cartagena | Festival do Rio | Festival Internacional de Documentários e Animação de Leipzig,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900577700000,FICO TE DEVENDO UMA CARTA SOBRE O BRASIL,fico te devendo uma carta sobre o brasil,12.0,2,É Tudo Verdade | IDFA - Festival Internacional de Documentários de Amsterdam,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800549200000,RASGA CORAÇÃO,rasga coracao,11.5,4,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Festival Internacional de Cinema da Fronteira | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700509000000,BIO,bio,11.0,4,Festival de Gramado | Festival do Rio | Festival Internacional de Cinema de Punta Del Este | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700606900000,CAMOCIM,camocim,11.0,6,Festival de Brasília | Festival de Cinema Málaga | Janela Internacional do Cinema | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700306100000,ANTES QUE EU ME ESQUEÇA,antes que eu me esqueca,11.0,7,FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brésilien de Paris | Festival de Cinema de Shangai | Festival du Film Brésilien de Montreal | IFFI - Festival Internacional de cinema da Índia (Goa) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900093000000,A JANGADA DE WELLES,a jangada de welles,10.5,7,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brasileiro de Nova York | Festival Internacional de Cinema e Vídeo Ambiental - FICA | Mostra de Cinema de Ouro Preto – CineOP | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100259000000,MEDIDA PROVISÓRIA,medida provisoria,10.5,5,Chicago Latino Film Festival | FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brésilien de Paris | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700615400000,O DESMONTE DO MONTE,o desmonte do monte,10.5,5,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Encontros de Cinema da Amércia Latina de Toulouse | Mostra de Cinema de Ouro Preto – CineOP | Mostra do Filme Livre | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900269000000,SEM DESCANSO,sem descanso,10.5,5,ATLANTIDOC - Festival Internacional de Cinema Documentário | Festival do Rio | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Panorama Internacional Coisa de Cinema | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600243000000,REDEMOINHO,redemoinho,10.5,4,FESTIN Lisboa | Festival de Cinema Brésilien de Paris | Festival do Rio | Festival Internacional de Cinema de Punta Del Este,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800046600000,LEGALIZE JÁ - AMIZADE NUNCA MORRE,legalize ja - amizade nunca morre,10.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600532000000,SUPER ORQUESTRA ARCOVERDENSE DE RITMOS AMERICANOS,super orquestra arcoverdense de ritmos americanos,10.0,4,Festival do Rio | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Mostra do Filme Livre | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100536000000,TROMBA TREM - O FILME,tromba trem - o filme,10.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema de Shangai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900231600000,ONTEM HAVIA COISAS ESTRANHAS NO CÉU,ontem havia coisas estranhas no ceu,10.0,4,Cinéma du Réel | Festival Internacional de Turim | FID Marseille (ex-Festival Internacional de Documentários de Marselha) | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100496300000,TURMA DA MÔNICA: LIÇÕES,turma da monica: licoes,10.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900050800000,POETAS DO CÉU,poetas do ceu,10.0,3,Festival do Rio | Festival Internacional de Cinema de Guadalajara | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100315800000,VENTO NA FRONTEIRA,vento na fronteira,10.0,4,Docs MX - Festival Internacional de Documentário da Cidade do México | É Tudo Verdade | Festival Internacional de Cinema de Durban | Festival Internacional de Documentários Hot Docs,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900249300000,BLOQUEIO,bloqueio,10.0,5,Festival de Brasília | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Janela Internacional do Cinema | Olhar de Cinema - Festival Internacional de Curitiba | Sheffield Doc Fest,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700260300000,O BANQUETE,o banquete,10.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Gramado | Festival Internacional de Cinema de Punta Del Este,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000325100000,DENTRO DA MINHA PELE,dentro da minha pele,10.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | É Tudo Verdade | Festival Internacional de Cine Político,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900347800000,PIEDADE,piedade,10.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Brasília | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700548300000,ALGUMA COISA ASSIM,alguma coisa assim,9.5,3,Festival do Rio | Festival Internacional de Cinema de Guadalajara | Mix Brasil,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600585400000,A GLÓRIA E A GRAÇA,a gloria e a graca,9.5,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200065900000,SOL,sol,9.0,4,FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000346300000,PAIXÕES RECORRENTES,paixoes recorrentes,9.0,5,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | DOCLISBOA - Festival Internatcional de Cinema | Festival Internacional de Cinema de Roterdã | FICUNAM | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600036800000,ZOOM,zoom,9.0,3,Festival do Rio | Festival Internacional de Cinema de Toronto | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200243000000,SINFONIA DE UM HOMEM COMUM,sinfonia de um homem comum,8.5,4,É Tudo Verdade | Festival de Cinema Brésilien de Paris | Festival Internacional de Documentários Hot Docs | IDFA - Festival Internacional de Documentários de Amsterdam,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900447800000,M8,m8,8.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700255500000,AQUALOUCOS,aqualoucos,8.0,2,Festival Internacional de Cinema de Guadalajara | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700178100000,QUEM É PRIMAVERA DAS NEVES,quem e primavera das neves,8.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | É Tudo Verdade,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800491800000,LEGALIDADE,legalidade,8.0,4,Chicago Latino Film Festival | FESTIN Lisboa | Festival de Gramado | Festival Guarnicê de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800561400000,DETETIVES DO PRÉDIO AZUL 2 - O MISTÉRIO ITALIANO,detetives do predio azul 2 - o misterio italiano,8.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900332300000,RIO DE VOZES,rio de vozes,8.0,5,ATLANTIDOC - Festival Internacional de Cinema Documentário | Cine Ceará | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brésilien de Paris | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900468100000,VERLUST,verlust,8.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600564100000,VERMELHO RUSSO,vermelho russo,8.0,2,Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000151700000,CONTACTADO,contactado,8.0,2,Festival de Cinema de Tribeca (Nova York) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800126800000,SEQUESTRO RELÂMPAGO,sequestro relampago,8.0,3,Festival do Rio | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700584300000,O BEIJO NO ASFALTO,o beijo no asfalto,7.5,4,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami | Festival Internacional de Cinema de Punta Del Este | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100408100000,O LIVRO DOS PRAZERES,o livro dos prazeres,7.0,3,Festival de Cinema de Vitória | Festival do Rio | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700332400000,QUERIDA MAMÃE,querida mamae,7.0,3,Chicago Latino Film Festival | FESTIN Lisboa | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200080600000,O PAI DA RITA,o pai da rita,7.0,4,Festival de Cinema Brésilien de Paris | Festival do Rio | Festival du Film Brésilien de Montreal | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700490400000,DIANTE DOS MEUS OLHOS,diante dos meus olhos,6.5,5,"Encontro de Cinema Negro Zózimo Bulbul: Brasil, África, Caribe & Outras Diásporas | Festival de Cinema de Vitória | Festival Internacional de Cinema do Uruguai | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Olhar de Cinema - Festival Internacional de Curitiba","Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100487400000,TRANSVERSAIS,transversais,6.5,3,Cine Ceará | Festival Mix Brasil de Cultura da Diversidade | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200198800000,QUEM TEM MEDO?,quem tem medo?,6.5,5,DOCLISBOA - Festival Internatcional de Cinema | Docs MX - Festival Internacional de Documentário da Cidade do México | É Tudo Verdade | Festival de Cinema Brésilien de Paris | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100424200000,"LUTAR, LUTAR, LUTAR","lutar, lutar, lutar",6.0,3,Festival Internacional de Cinema de Roterdã | Festival Trois Continents (Nantes) | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000008400000,ENCARCERADOS,encarcerados,6.0,2,Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900180000000,BOCA DE OURO,boca de ouro,6.0,2,Festival de Brasília | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000066500000,FIM DE FESTA,fim de festa,6.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900253800000,RELATOS DO FRONT,relatos do front,6.0,2,CPH:DOX - Festival Internacional de Cinema Documentário de Copenhagen | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200073000000,DEUS TEM AIDS,deus tem aids,6.0,5,Forumdoc.bh - Festival do Filme Documentário e Etnográfico | IDFA - Festival Internacional de Documentários de Amsterdam | Mix Brasil | Olhar de Cinema - Festival Internacional de Curitiba | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700347600000,MALASARTES E O DUELO COM A MORTE,malasartes e o duelo com a morte,6.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Cine Ceará,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900409100000,CARLINHOS E CARLÃO,carlinhos e carlao,6.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600677900000,LESTE OESTE,leste oeste,6.0,2,Cine PE - Fetival Audiovisual do Recife | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700466900000,ENTRE IRMÃS,entre irmas,6.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
