cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte
B2100017700000,BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE,bob cuspe - nos nao gostamos de gente,49.5,10,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | CINANIMA | Festival de Cinema de Cartagena | Festival Internacional de Animação - Annecy | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Guadalajara | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Ottawa International Animation Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100408300000,DESERTO PARTICULAR,deserto particular,49.5,17,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | BAFICI | Cine PE - Fetival Audiovisual do Recife | Festival de Cinema Brésilien de Paris | Festival de Cinema de Istambul | Festival de Cinema Ibero-americano de Huelva | Festival de Cinema LGBTIQ+ de Londres - BFI Flare | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Veneza | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Giornate degli Autori | IFFI - Festival Internacional de cinema da Índia (Goa) | Mix Brasil | Mostra Internacional de Cinema de São Paulo | SFF - Sydney Film Festival | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700054400000,AS DUAS IRENES,as duas irenes,49.5,17,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | FESTIN Lisboa | Festival de Cinema Brésilien de Paris | Festival de Gramado | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema do Cairo | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Film Festival Ghent | Palm Springs | Semana Internacional de Cine de Valladolid (Seminci) | SIFF - Seattle International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200312700000,CARVÃO,carvao,48.5,13,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Donostia - Festival Internacional de Cinema de San Sebastián | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema de Istambul | Festival de Cinema Ibero-americano de Huelva | Festival do Rio | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Toronto | Festival Internacional de Melbourne | Los Angeles AFI Fest | Mix Brasil | Mostra Internacional de Cinema de São Paulo | Transilvania International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800466100000,TEMPORADA,temporada,48.0,17,Encontros de Cinema da Amércia Latina de Toulouse | Festival de Brasília | Festival de Cinema Brésilien de Paris | Festival de Cinema de Locarno | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional de Turim | Festival Internacional Entrevues Belfort | Festival Trois Continents (Nantes) | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | Los Angeles AFI Fest | Mostra Internacional de Cinema de São Paulo | New Directors New Films | Panorama Internacional Coisa de Cinema | Semana de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100271900000,EL EMPLEADO Y EL PATRÓN,el empleado y el patron,47.5,16,Donostia - Festival Internacional de Cinema de San Sebastián | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cannes | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Amiens | Festival Internacional de Cinema de Beijing | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Moscou | Festival Internacional de Cinema de São Francisco | Festival Internacional de Cinema do Uruguai | Festival Internacional Mannheim Heidelberg | Hong Kong International Film Festival | IFFK - International Film Festival of Kerala | Thessaloniki International Film Festival | Zurich Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800458600000,VERMELHO SOL,vermelho sol,47.5,12,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | Donostia - Festival Internacional de Cinema de San Sebastián | Festival de Cinema de Istambul | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema de Viena | Festival Internacional de Viña del Mar | Jeonju Internacional Film Festival | Transilvania International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900350700000,ESPERO TUA (RE)VOLTA,espero tua (re)volta,45.5,15,ATLANTIDOC - Festival Internacional de Cinema Documentário | BAFICI | Cine Las Americas International Film Festival | Cine PE - Fetival Audiovisual do Recife | Cine Vitória | Docs MX - Festival Internacional de Documentário da Cidade do México | Festival do Rio | Festival Internacional de Cine Político | Festival Internacional de Cinema de Berlim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | LUCAS Internationales KinderFilmFestival | NewFest - Festival de Cinema e Mídias LGBTQ+ | Olhar de Cinema - Festival Internacional de Curitiba | Sheffield Doc Fest | SIFF - Seattle International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800056700000,FERRUGEM,ferrugem,45.0,13,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Donostia - Festival Internacional de Cinema de San Sebastián | FESTIN Lisboa | Festival de Cinema de Denver | Festival de Cinema de Galway | Festival de Gramado | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Giffoni Film Festival | IFFI - Festival Internacional de cinema da Índia (Goa) | LUCAS Internationales KinderFilmFestival | SIFF - Seattle International Film Festival | Sundance Film Festival | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700305400000,GABRIEL E A MONTANHA,gabriel e a montanha,44.0,16,BAFICI | Festival de Cannes | Festival de Cinema Brésilien de Paris | Festival de Cinema de Varsóvia | Festival do Rio | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Morelia | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Sarajevo Film Festival | Semana Internacional de Cine de Valladolid (Seminci) | Thessaloniki International Film Festival | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000542500000,MEU NOME É BAGDÁ,meu nome e bagda,43.0,11,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cine de Mujeres – FEMCINE | Festival do Rio | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Cork | Festival Internacional de Cinema do Cairo | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Mix Brasil de Cultura da Diversidade | FIFF - Festival Internacional de Films de Fribourg,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000532000000,PACIFIED,pacified,43.0,10,Donostia - Festival Internacional de Cinema de San Sebastián | Festival de Cinema de Istambul | Festival de Cinema de Tribeca (Nova York) | Festival do Rio | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Giffoni Film Festival | Molodist - Festival Internacional de Cinema de Kiev | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
